net_votes,num_recommendations
5,21
2,15
0,2
-1,9
3,9
2,14
0,2
3,10
0,8
1,3
0,4
4,15
1,7
0,5
0,3
1,4
1,2
5,3
0,2
0,25
0,3
0,6
0,1
0,1
0,0
0,3
0,3
0,3
0,4
2,4
0,4
0,0
0,5
0,2
0,1
2,4
0,0
0,2
0,4
0,0
0,1
0,2
0,3
0,0
1,3
1,1
0,0
0,0
0,2
0,1
0,0
0,1
0,1
0,0
0,1
0,0
0,3
0,0
0,0
0,0
0,1
0,1
0,0
0,2
0,0
0,0
0,1
0,3
0,1
0,1
0,2
0,2
0,3
0,1
0,0
0,1
0,0
0,1
0,0
0,0
1,5
0,0
0,0
0,2
0,1
0,2
0,0
0,0
0,0
0,1
0,0
0,0
0,1
0,0
0,0
0,0
0,0
1,1
1,1
1,5
1,0
0,0
0,0
0,0
0,0
0,0
0,0